,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
363,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-30 00:00:00+00:00,2018-12-29 17:00:00-07:00,no2,0.043,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
366,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-30 00:00:00+00:00,2018-12-29 17:00:00-07:00,no2,0.04,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
373,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 23:00:00+00:00,2018-12-29 16:00:00-07:00,no2,0.021,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
380,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 23:00:00+00:00,2018-12-29 16:00:00-07:00,no2,0.038,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
384,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 23:00:00+00:00,2018-12-29 16:00:00-07:00,no2,0.031,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
389,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 22:00:00+00:00,2018-12-29 15:00:00-07:00,no2,0.013999999999999999,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
398,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 22:00:00+00:00,2018-12-29 15:00:00-07:00,no2,0.02,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
400,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 22:00:00+00:00,2018-12-29 15:00:00-07:00,no2,0.021,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
409,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 21:00:00+00:00,2018-12-29 14:00:00-07:00,no2,0.013000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
413,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 21:00:00+00:00,2018-12-29 14:00:00-07:00,no2,0.019,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
416,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 21:00:00+00:00,2018-12-29 14:00:00-07:00,no2,0.017,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
419,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 20:00:00+00:00,2018-12-29 13:00:00-07:00,no2,0.016,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
424,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 20:00:00+00:00,2018-12-29 13:00:00-07:00,no2,0.015,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
429,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 20:00:00+00:00,2018-12-29 13:00:00-07:00,no2,0.011000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
434,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 19:00:00+00:00,2018-12-29 12:00:00-07:00,no2,0.011000000000000001,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
441,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 19:00:00+00:00,2018-12-29 12:00:00-07:00,no2,0.012,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
448,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 19:00:00+00:00,2018-12-29 12:00:00-07:00,no2,0.013000000000000001,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
456,La Casa NCORE - 4545,Denver-Aurora,US,2018-12-29 18:00:00+00:00,2018-12-29 11:00:00-07:00,no2,0.01,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
458,Welby - 78th Ave. &,Denver-Aurora,US,2018-12-29 18:00:00+00:00,2018-12-29 11:00:00-07:00,no2,0.015,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
460,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 18:00:00+00:00,2018-12-29 11:00:00-07:00,no2,0.012,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
468,Denver - CAMP - 2105,Denver-Aurora,US,2018-12-29 17:00:00+00:00,2018-12-29 10:00:00-07:00,no2,0.015,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
